Time,speed,power,accumulated_usage,road_type,address
2024-10-01 08:38:00,12.0,37.34868897106181,20417.0,国道,新疆维吾尔自治区昌吉回族自治州阜康市上户沟哈萨克族乡216国道
2024-10-01 08:45:00,55.333333333333336,0.0,20418.5,国道,新疆维吾尔自治区昌吉回族自治州阜康市上户沟哈萨克族乡216国道阜康市华威工贸有限公司西386米
2024-10-01 08:46:00,48.0,69.18168276796698,20418.5,高速,新疆维吾尔自治区昌吉回族自治州阜康市上户沟哈萨克族乡216国道南泉子收费站(G7京新高速出口)东239米
2024-10-01 08:47:00,47.0,147.19592652403622,20418.5,国道,新疆维吾尔自治区昌吉回族自治州阜康市上户沟哈萨克族乡216国道
2024-10-01 08:48:00,50.0,142.8070732933304,20419.0,国道,新疆维吾尔自治区昌吉回族自治州阜康市上户沟哈萨克族乡216国道
2024-10-01 08:50:00,52.0,97.40151110552608,20420.0,国道,新疆维吾尔自治区昌吉回族自治州阜康市上户沟哈萨克族乡216国道
2024-10-01 08:51:00,60.333333333333336,14.689762648416652,20420.5,国道,新疆维吾尔自治区昌吉回族自治州阜康市上户沟哈萨克族乡216国道驿站快餐厅西356米
2024-10-01 08:52:00,62.5,15.880053774599547,20421.0,国道,新疆维吾尔自治区昌吉回族自治州阜康市上户沟哈萨克族乡216国道燕子东北菜馆西北93米
2024-10-01 08:56:00,55.0,79.02594602724477,20421.0,国道,新疆维吾尔自治区昌吉回族自治州阜康市上户沟哈萨克族乡216国道新疆中泰矿冶有限公司生活区东北238米
2024-10-01 08:57:00,54.0,52.27105817613679,20421.5,国道,新疆维吾尔自治区昌吉回族自治州阜康市上户沟哈萨克族乡216国道新疆中泰矿冶有限公司生活区东669米
2024-10-01 08:58:00,17.0,82.01793518814947,20421.5,高速,新疆维吾尔自治区昌吉回族自治州阜康市上户沟哈萨克族乡216国道大黄山服务区(京新高速北京方向)西293米
2024-10-01 08:59:00,29.0,132.58214228681416,20422.0,其他,新疆维吾尔自治区昌吉回族自治州阜康市上户沟哈萨克族乡Z531黄山口村西268米
2024-10-01 09:00:00,47.0,80.26782225762061,20422.0,其他,新疆维吾尔自治区昌吉回族自治州阜康市上户沟哈萨克族乡Z531
2024-10-01 09:01:00,45.0,4.789647408444599,20422.5,其他,新疆维吾尔自治区昌吉回族自治州阜康市上户沟哈萨克族乡Z531
2024-10-01 10:21:00,30.0,127.44469331257984,20423.0,其他,新疆维吾尔自治区昌吉回族自治州阜康市上户沟哈萨克族乡Z531
2024-10-01 10:22:00,45.5,165.79246120856385,20423.5,其他,新疆维吾尔自治区昌吉回族自治州阜康市上户沟哈萨克族乡Z531
2024-10-01 10:23:00,53.0,133.39828794065858,20424.0,其他,新疆维吾尔自治区昌吉回族自治州阜康市上户沟哈萨克族乡Z531
2024-10-01 10:24:00,28.5,14.528723482948436,20424.5,其他,新疆维吾尔自治区昌吉回族自治州阜康市上户沟哈萨克族乡Z531
2024-10-01 10:25:00,12.0,29.09899653127771,20425.0,其他,新疆维吾尔自治区昌吉回族自治州阜康市上户沟哈萨克族乡Z531
